StudyHours,ExtraParticipation,PapersPracticed,PreviousMarks,SleepingHours,PerformanceIndex
7,No,2,52,5,43
6,No,7,68,9,57
3,Yes,7,54,7,29
2,No,0,79,9,58
2,Yes,8,70,7,54
5,Yes,8,91,4,75
4,No,7,65,4,48
1,Yes,3,63,8,36
6,No,2,76,8,64
4,Yes,6,83,4,64
4,No,5,98,7,78
6,No,4,83,7,73
9,Yes,9,93,7,93
1,Yes,0,69,4,39
2,Yes,1,94,9,72
3,Yes,1,52,9,33
4,No,0,41,5,21
8,No,1,52,7,48
4,Yes,9,98,4,81
6,Yes,4,48,5,35
9,Yes,9,65,9,68
6,Yes,8,86,4,75
9,No,4,46,8,46
9,Yes,5,95,5,88
5,Yes,8,52,9,38
4,Yes,9,47,9,28
6,Yes,5,85,6,72
8,No,5,41,8,37
7,No,8,99,4,89
6,No,3,70,7,57
3,No,0,49,6,26
4,No,1,40,9,22
2,Yes,0,55,7,30
3,No,8,41,8,20
3,No,4,92,4,70
1,No,4,40,7,11
1,Yes,9,45,6,19
2,No,0,45,4,20
8,Yes,3,53,4,43
7,Yes,9,54,8,47
5,No,1,62,6,46
9,No,6,81,7,78
3,No,5,45,9,26
3,No,5,42,9,25
6,Yes,6,59,6,47
2,No,1,50,4,28
9,Yes,9,45,4,41
3,Yes,0,79,6,59
8,No,4,76,9,72
4,Yes,4,99,4,82
3,Yes,2,83,4,63
2,Yes,2,59,6,35
7,Yes,8,90,6,82
5,No,1,95,8,82
4,No,4,83,8,65
5,Yes,0,81,4,63
3,No,7,40,4,17
6,No,9,74,6,62
1,Yes,6,61,8,39
4,Yes,8,53,9,40
7,No,0,73,4,61
3,No,7,69,4,45
9,Yes,6,74,9,74
7,Yes,5,78,8,70
1,No,5,96,7,72
6,No,7,70,4,57
5,Yes,8,58,8,46
1,No,8,66,6,43
3,No,4,97,6,75
1,Yes,3,66,6,38
7,Yes,7,67,8,60
9,Yes,0,73,5,67
3,No,9,97,4,74
2,No,5,97,9,78
8,No,2,87,5,81
5,No,6,81,4,67
5,No,9,79,4,66
5,No,2,70,8,57
3,No,0,81,7,62
6,No,7,48,6,38
1,No,7,81,5,55
7,Yes,1,57,5,48
8,Yes,4,41,4,32
1,No,3,42,4,11
5,No,6,84,9,76
4,No,2,59,9,41
1,Yes,9,48,7,19
7,No,9,57,6,53
3,Yes,8,96,6,79
1,No,0,49,4,19
5,Yes,2,77,6,62
2,No,4,98,7,71
7,No,9,49,7,44
1,No,4,94,9,73
9,Yes,6,62,5,59
9,Yes,9,59,7,58
9,Yes,2,46,4,41
7,No,8,92,6,87
8,Yes,8,49,4,46
7,Yes,8,41,7,34
8,Yes,9,61,6,58
8,Yes,1,58,9,49
1,No,3,53,8,26
7,Yes,6,47,8,37
5,Yes,0,84,7,71
2,No,2,73,4,50
9,Yes,4,62,8,62
2,No,0,80,4,52
4,No,7,66,6,51
7,Yes,1,75,6,65
7,No,9,79,5,69
4,No,0,87,5,69
4,Yes,5,52,6,31
1,No,8,63,7,40
3,Yes,6,57,5,36
4,No,9,91,4,74
9,Yes,9,79,6,78
5,No,2,83,8,68
6,Yes,8,78,8,69
8,Yes,0,42,8,37
3,No,1,95,6,76
3,No,1,41,5,21
4,Yes,7,67,7,48
3,Yes,0,71,5,50
5,No,4,62,7,47
3,No,2,47,4,24
2,No,0,56,4,30
1,Yes,1,89,4,63
3,Yes,9,97,5,78
7,Yes,7,64,4,56
8,No,4,42,8,36
3,No,6,41,4,20
9,Yes,8,45,4,41
3,No,3,68,7,43
4,No,8,53,6,35
4,Yes,9,74,4,55
7,No,9,90,8,86
4,Yes,7,61,6,46
4,No,6,73,5,59
6,Yes,5,97,8,86
1,No,5,42,5,12
5,Yes,2,74,4,59
1,Yes,8,54,5,27
1,No,3,76,5,52
5,Yes,7,42,4,25
6,Yes,3,71,7,61
4,Yes,4,65,5,45
5,Yes,6,86,7,73
9,Yes,7,54,4,52
5,No,6,64,7,49
8,Yes,3,90,4,82
7,No,1,92,9,87
8,Yes,9,98,5,97
4,No,5,53,9,34
1,Yes,8,78,9,56
2,Yes,2,78,8,58
1,Yes,0,82,6,56
5,Yes,5,76,8,63
6,Yes,8,90,7,80
7,Yes,4,81,9,74
4,Yes,1,61,7,44
7,No,3,73,8,63
3,Yes,2,80,7,63
7,No,9,58,5,49
4,No,0,83,8,68
6,No,1,70,7,58
4,No,3,93,7,80
4,No,0,77,4,59
8,Yes,5,49,8,43
4,No,7,91,6,75
1,No,7,49,5,22
1,Yes,1,65,4,37
9,No,0,69,5,63
9,No,5,79,4,73
3,Yes,0,65,8,43
5,Yes,9,60,5,46
6,No,2,67,6,54
6,Yes,8,63,4,51
4,Yes,5,95,9,78
8,No,8,62,9,62
4,No,0,65,4,45
9,No,5,71,7,68
1,No,3,91,4,64
2,No,1,62,6,37
5,Yes,2,68,6,53
5,No,5,83,6,70
6,No,9,42,4,24
6,No,6,71,6,55
8,No,8,76,6,66
3,Yes,6,88,8,72
1,Yes,6,61,6,37
8,No,4,90,5,83
2,Yes,3,67,9,43
4,Yes,5,94,4,74
8,Yes,5,68,4,64
1,Yes,3,69,4,41
9,No,3,87,7,88
5,No,9,40,4,23
4,Yes,9,47,8,31
4,Yes,6,69,8,55
9,Yes,2,56,9,53
3,No,1,60,8,39
8,No,8,46,4,37
8,No,2,62,7,57
7,Yes,3,88,5,80
1,Yes,6,98,5,73
6,No,7,75,7,66
9,No,7,83,8,83
8,Yes,9,60,7,55
7,No,0,61,8,53
6,No,6,84,4,72
5,Yes,5,73,7,57
7,No,3,68,6,58
7,No,7,86,5,79
6,Yes,5,89,4,80
2,No,0,63,4,37
1,No,9,47,8,24
9,No,9,45,4,40
5,No,8,79,7,68
1,No,5,96,7,71
7,No,6,68,7,58
4,No,1,90,4,70
2,Yes,6,50,6,28
2,No,6,43,5,18
6,Yes,9,76,6,65
6,No,7,58,9,49
8,No,3,82,8,79
3,No,5,90,6,72
8,Yes,2,45,6,38
7,No,5,99,4,89
3,Yes,5,77,8,61
9,No,1,85,9,80
5,Yes,6,71,4,54
5,Yes,1,51,5,39
4,Yes,7,58,9,41
8,Yes,6,56,5,54
1,Yes,4,68,7,41
3,Yes,2,53,4,30
7,Yes,1,83,7,74
4,Yes,0,88,9,74
6,No,2,49,6,36
8,No,5,46,6,40
4,No,3,51,5,32
6,Yes,2,58,8,45
6,Yes,4,70,4,59
3,No,5,69,7,48
3,No,4,51,6,33
3,No,3,74,7,54
2,No,7,96,6,75
5,Yes,5,80,7,65
5,Yes,3,75,5,60
3,Yes,5,50,5,30
9,No,5,66,8,65
2,Yes,3,65,5,45
5,No,6,63,8,52
2,Yes,4,78,6,55
2,Yes,6,59,5,38
3,Yes,1,77,4,56
2,Yes,5,57,7,34
6,No,5,69,5,56
5,No,9,81,7,66
5,Yes,3,99,9,89
8,No,8,91,7,88
5,Yes,1,95,8,83
6,No,0,59,8,45
3,Yes,7,54,5,35
1,No,5,77,7,52
2,Yes,0,61,8,42
2,No,0,40,4,13
8,Yes,2,62,6,58
2,Yes,3,49,8,23
2,Yes,2,85,7,64
9,Yes,5,45,7,45
1,Yes,6,40,9,15
5,Yes,6,70,9,61
8,Yes,7,45,9,40
3,No,3,44,6,19
9,No,5,93,7,92
8,No,3,68,7,61
5,No,0,57,5,40
6,Yes,8,84,8,76
5,No,8,94,8,81
9,Yes,5,92,5,90
9,No,9,87,7,86
7,No,1,47,7,37
8,Yes,1,99,6,93
1,No,6,67,4,39
7,Yes,6,40,9,34
9,No,8,90,5,85
4,Yes,8,90,9,76
1,Yes,9,40,8,18
9,No,2,85,5,81
3,Yes,0,49,4,26
2,Yes,1,85,9,61
5,Yes,4,77,5,62
9,Yes,8,44,4,39
6,Yes,4,83,5,70
2,Yes,5,89,5,70
7,Yes,6,81,9,75
6,Yes,0,51,4,38
5,Yes,2,52,5,36
3,Yes,1,47,4,28
2,No,1,89,8,66
7,Yes,1,65,6,54
3,No,4,47,9,25
1,Yes,8,85,7,59
7,Yes,5,54,4,42
9,No,7,44,4,37
8,Yes,5,76,6,72
3,Yes,7,75,5,55
2,No,7,67,8,47
3,No,4,46,5,21
2,No,3,63,5,35
5,Yes,7,48,7,33
3,Yes,4,56,4,35
2,Yes,1,91,7,66
9,Yes,5,50,7,51
7,Yes,7,62,4,55
3,Yes,5,63,9,45
5,No,7,63,9,51
2,No,4,75,4,50
5,No,6,43,5,29
1,Yes,8,51,8,27
2,No,9,87,4,67
9,No,6,84,6,79
6,Yes,3,60,4,46
1,No,3,41,7,12
7,No,3,96,5,84
9,No,4,52,7,49
3,Yes,0,72,5,46
8,No,0,78,7,70
6,No,1,52,4,37
7,No,1,74,7,64
8,Yes,9,77,7,70
4,No,2,56,7,37
9,No,4,45,7,42
1,Yes,3,76,7,54
9,No,2,46,6,37
4,Yes,0,47,7,28
2,No,8,94,7,72
8,No,2,51,5,44
1,Yes,5,90,5,67
2,Yes,6,82,6,60
9,No,3,66,9,61
5,No,4,85,9,73
8,No,5,47,9,40
3,No,9,98,5,76
6,Yes,4,56,5,45
4,Yes,8,60,7,45
7,Yes,6,79,9,72
2,Yes,8,85,7,64
7,No,8,53,6,42
5,No,7,90,9,74
3,No,5,42,4,20
5,Yes,7,82,6,72
5,Yes,1,48,8,35
3,Yes,6,67,8,52
8,No,8,76,8,70
6,No,9,40,9,29
1,Yes,5,76,4,48
8,Yes,8,59,9,55
3,No,4,73,6,52
2,Yes,0,57,7,34
9,Yes,5,91,4,89
2,No,5,66,9,45
9,No,7,88,6,89
9,Yes,6,42,9,41
3,No,7,59,7,43
1,No,2,56,6,31
9,Yes,6,67,5,62
4,Yes,4,66,5,48
1,Yes,2,99,9,76
8,Yes,2,80,4,70
2,Yes,8,79,4,56
2,Yes,3,75,5,53
7,Yes,8,43,6,35
7,Yes,9,59,5,55
7,No,1,91,8,82
4,No,3,64,7,44
4,No,3,75,6,61
6,No,3,80,7,69
8,No,8,79,8,75
8,Yes,8,77,5,69
8,Yes,5,82,6,76
4,Yes,8,51,5,36
2,Yes,6,67,6,44
5,Yes,0,92,8,79
3,No,1,41,4,18
8,No,4,48,5,40
8,Yes,7,70,6,64
8,No,8,65,4,57
4,Yes,1,93,7,73
7,No,7,92,9,86
3,No,6,57,7,33
2,No,0,65,6,40
6,Yes,4,91,9,86
2,No,9,62,4,40
3,No,5,56,4,32
9,Yes,8,67,8,68
3,Yes,9,73,6,50
9,No,5,52,6,50
1,Yes,2,76,7,51
1,No,5,60,9,32
8,No,9,68,5,64
2,No,2,73,7,52
1,Yes,7,87,8,64
1,No,8,52,5,24
9,Yes,4,80,4,75
9,Yes,3,92,7,93
4,Yes,0,96,4,76
7,No,1,75,7,66
7,Yes,6,93,5,87
8,No,0,64,5,56
1,No,3,51,8,23
5,Yes,6,83,5,69
2,Yes,2,98,4,75
7,Yes,1,99,9,91
8,No,3,56,9,49
5,No,0,84,8,70
7,No,1,63,6,50
3,Yes,4,56,6,36
5,No,0,56,8,40
4,Yes,4,45,7,25
3,Yes,3,92,5,71
9,Yes,3,67,4,64
5,Yes,8,42,7,30
7,No,4,46,7,37
4,Yes,5,90,5,74
6,Yes,7,94,7,86
5,Yes,3,98,8,86
8,No,7,66,4,59
9,Yes,3,89,5,86
7,Yes,0,41,9,32
7,Yes,8,99,8,95
7,No,5,56,4,46
9,No,7,97,5,95
4,Yes,0,59,8,42
4,No,9,76,7,57
4,No,7,66,6,50
6,Yes,9,89,8,78
7,Yes,1,86,9,84
3,Yes,1,73,8,54
1,Yes,5,59,8,34
7,No,7,85,8,77
5,Yes,8,94,7,79
3,No,1,70,5,49
7,Yes,2,94,4,86
2,No,4,66,9,42
7,Yes,3,56,8,49
7,Yes,2,45,7,36
3,Yes,3,61,8,42
9,Yes,4,46,4,44
7,Yes,2,65,8,56
8,Yes,1,74,8,67
4,No,7,88,9,72
5,No,9,47,7,34
9,Yes,3,60,4,56
4,Yes,8,50,5,32
7,No,6,80,8,74
5,No,8,68,4,52
7,No,6,99,6,89
7,No,1,81,8,72
8,Yes,3,78,8,76
6,Yes,7,68,9,61
8,No,7,61,5,54
6,No,9,98,5,87
1,No,1,78,5,50
6,Yes,5,62,8,49
7,Yes,2,67,5,58
8,No,4,43,6,36
8,No,0,42,4,31
8,Yes,6,62,5,58
6,No,5,45,4,36
4,Yes,1,69,4,53
5,No,6,65,9,53
6,Yes,3,57,8,46
2,No,0,73,4,50
9,Yes,8,83,6,80
4,Yes,6,82,8,68
1,No,9,99,6,76
2,No,9,70,7,48
6,No,7,62,5,50
9,Yes,6,52,7,52
5,No,9,60,6,44
3,No,0,58,7,37
8,No,2,54,4,48
4,Yes,0,51,9,36
9,Yes,6,54,8,55
3,No,3,89,9,69
4,No,9,40,9,25
3,Yes,4,75,6,57
6,Yes,9,99,5,93
8,No,3,93,7,86
4,Yes,2,98,7,82
2,No,8,77,7,52
2,No,0,90,9,67
8,No,0,56,7,50
9,No,0,54,8,49
4,No,9,75,8,61
3,No,9,68,7,46
5,No,2,77,8,61
3,No,5,71,4,52
1,Yes,7,46,4,21
8,Yes,0,51,9,44
1,Yes,0,51,8,26
3,No,9,44,6,26
7,Yes,0,67,5,59
9,No,0,51,9,47
8,Yes,2,90,7,84
4,Yes,7,57,4,38
7,No,0,83,6,73
6,No,4,99,9,90
9,No,1,77,7,72
5,No,0,60,7,44
5,No,5,74,5,63
6,Yes,4,97,5,87
3,Yes,8,78,5,57
5,Yes,5,57,4,41
6,Yes,1,83,7,71
9,No,1,51,6,44
2,No,6,79,6,58
9,Yes,3,93,8,92
2,No,3,71,9,47
2,Yes,0,66,4,45
5,No,9,88,6,77
3,Yes,1,74,4,50
8,Yes,9,45,9,44
7,Yes,4,70,8,60
1,Yes,6,82,9,56
4,Yes,9,63,5,47
6,No,6,93,6,84
9,Yes,8,89,9,90
4,No,3,59,8,42
6,No,5,86,6,74
5,No,0,73,6,56
3,No,3,77,7,57
3,Yes,6,67,4,46
9,No,2,79,9,77
5,No,8,58,8,47
4,No,4,57,5,36
6,Yes,5,68,9,59
5,No,7,83,5,67
1,Yes,2,50,6,24
9,No,6,56,6,52
9,No,1,96,7,90
4,Yes,6,63,7,48
9,Yes,2,97,6,93
9,No,9,56,7,57
9,Yes,3,57,8,51
3,No,5,79,9,63
8,No,0,48,9,37
3,Yes,0,86,4,67
5,Yes,3,99,9,88
5,No,4,97,9,81
5,No,8,47,8,35
1,Yes,5,42,5,15
7,No,7,91,8,79
1,No,7,43,7,20
8,No,0,48,6,39
2,Yes,8,48,8,26
8,Yes,5,97,7,92
4,No,6,73,4,54
7,Yes,7,57,7,49
4,No,6,50,5,33
7,No,4,46,6,37
5,Yes,0,42,6,26
6,Yes,5,81,4,71
5,Yes,2,60,4,44
7,No,8,40,8,31
9,Yes,9,41,4,35
4,Yes,5,47,7,31
2,No,0,70,7,48
6,No,6,55,8,43
4,No,0,64,8,45
2,Yes,9,50,7,29
5,Yes,9,55,4,37
5,Yes,3,61,7,48
2,No,1,44,6,18
1,No,7,98,6,74
7,Yes,4,92,8,85
1,No,1,62,8,36
7,No,4,49,4,36
7,No,2,95,7,86
7,Yes,2,73,8,64
3,No,9,43,4,24
6,Yes,1,55,9,44
2,No,3,63,4,39
7,Yes,6,64,8,56
6,No,5,88,7,76
7,No,2,57,8,46
1,Yes,5,49,4,22
1,Yes,4,80,7,55
1,Yes,8,57,9,37
7,Yes,9,58,7,46
2,No,5,57,5,35
1,Yes,4,87,4,63
1,No,0,63,6,36
8,Yes,4,59,6,55
2,No,8,95,6,70
6,Yes,3,95,7,83
5,Yes,1,76,9,64
6,Yes,5,54,9,42
7,No,0,78,5,69
2,Yes,0,90,5,68
2,No,9,40,7,18
8,Yes,1,60,7,56
5,No,9,84,6,69
4,Yes,5,50,8,34
9,No,1,51,7,44
1,Yes,6,53,9,30
7,No,8,45,8,36
7,Yes,3,65,6,55
8,Yes,8,92,7,90
1,No,5,61,6,34
3,Yes,0,48,7,28
5,No,8,48,8,31
2,Yes,9,54,8,34
7,No,1,66,8,59
5,Yes,6,96,4,82
2,Yes,0,86,8,61
9,No,9,45,7,46
9,Yes,3,66,5,62
3,No,0,95,9,76
2,No,9,42,5,20
9,No,8,55,8,50
7,Yes,7,44,5,35
5,Yes,5,72,6,55
4,No,5,83,4,66
1,No,6,85,5,57
1,Yes,3,90,9,67
9,No,7,49,8,47
3,Yes,5,91,8,71
5,Yes,5,40,4,25
3,No,6,78,5,59
7,No,8,85,9,78
7,Yes,8,84,4,76
3,Yes,3,83,4,64
7,Yes,6,45,6,38
6,Yes,3,66,6,53
7,Yes,9,90,4,83
8,No,7,40,7,36
4,Yes,9,87,5,75
2,No,7,89,4,67
1,No,8,58,6,34
5,No,9,47,4,30
8,No,6,94,8,92
7,Yes,0,64,7,54
9,Yes,6,93,9,97
9,Yes,7,58,7,55
6,Yes,7,87,5,72
3,Yes,8,89,7,74
4,No,1,95,9,78
1,No,1,47,8,24
6,Yes,9,52,8,45
8,No,8,44,5,38
8,Yes,3,64,6,53
3,Yes,4,98,7,79
6,No,8,81,4,65
2,No,2,96,8,72
8,No,1,64,6,56
7,No,5,50,9,42
1,Yes,0,70,4,44
7,Yes,9,69,6,63
8,Yes,1,70,8,64
6,No,1,41,4,28
1,Yes,6,62,7,36
9,No,0,66,9,65
8,No,1,61,6,51
5,No,6,67,6,51
4,Yes,1,75,4,60
8,Yes,1,81,6,74
8,No,2,53,8,46
6,Yes,6,78,8,67
9,No,2,76,6,72
4,No,5,75,6,55
6,No,9,64,7,54
8,Yes,9,47,6,45
4,Yes,3,50,7,31
5,No,3,70,5,52
3,Yes,1,74,4,56
6,Yes,9,57,4,46
7,Yes,1,55,8,50
6,No,0,65,4,52
4,No,6,88,5,70
1,Yes,2,83,4,53
4,Yes,0,70,7,53
2,Yes,6,54,8,31
1,Yes,6,52,9,28
3,Yes,1,97,6,75
5,Yes,7,68,7,53
7,Yes,2,40,6,33
2,No,9,97,5,73
2,No,1,85,5,63
2,No,6,81,4,59
1,Yes,4,62,5,37
4,Yes,8,78,7,59
7,Yes,4,82,5,70
7,Yes,4,56,9,46
6,No,8,72,5,62
2,Yes,6,63,4,42
6,Yes,4,60,7,50
2,No,2,81,5,58
6,No,6,96,9,86
4,Yes,1,57,8,41
5,No,2,94,9,84
7,No,8,77,8,70
6,No,0,90,7,77
1,No,6,82,4,52
4,No,5,92,9,77
5,No,4,47,8,34
7,Yes,3,42,6,35
8,Yes,1,45,6,40
1,No,3,61,8,33
2,Yes,2,69,5,43
1,No,1,60,6,29
4,No,7,62,6,43
4,No,3,78,8,61
3,Yes,5,79,7,60
6,Yes,9,91,8,83
2,Yes,2,99,5,75
4,Yes,6,40,6,20
4,Yes,6,44,7,27
7,Yes,7,90,5,82
9,Yes,6,44,5,41
9,Yes,5,64,9,63
6,Yes,2,78,4,70
2,No,8,84,9,65
8,No,3,96,4,90
6,No,3,85,4,75
6,Yes,4,68,6,56
8,Yes,5,69,5,62
6,Yes,7,91,9,81
9,Yes,9,98,8,93
6,Yes,4,40,4,23
3,Yes,4,84,5,65
4,No,0,63,7,43
9,No,2,68,8,70
7,No,1,63,6,54
9,No,8,61,4,59
9,Yes,4,67,7,65
7,No,1,94,9,84
2,No,1,92,4,69
9,No,7,58,8,59
8,Yes,9,74,4,65
8,Yes,8,47,6,42
5,Yes,5,88,7,72
1,No,3,57,8,30
7,Yes,7,47,4,39
7,Yes,8,72,5,63
8,Yes,5,90,7,88
8,No,0,45,9,38
3,No,1,80,6,61
1,Yes,4,82,9,62
3,No,4,73,8,50
6,Yes,4,98,6,87
8,Yes,8,84,8,82
1,Yes,0,76,8,50
5,No,5,59,8,43
4,Yes,5,72,9,55
8,Yes,0,98,7,97
9,Yes,8,94,4,93
9,Yes,1,76,7,73
6,Yes,6,55,6,45
8,No,3,71,6,64
5,Yes,8,53,8,40
5,No,1,59,5,43
2,Yes,4,44,7,19
3,Yes,0,85,9,68
3,No,4,92,5,71
2,No,8,40,9,16
7,No,9,95,8,94
9,Yes,3,78,4,74
8,No,6,95,7,90
1,Yes,2,72,6,46
2,No,6,89,9,68
6,No,0,44,8,29
1,No,0,78,9,53
5,Yes,7,56,4,39
2,No,6,76,9,56
5,No,6,89,4,69
8,No,6,48,9,46
7,Yes,2,96,7,89
4,Yes,0,51,4,30
2,No,4,52,8,27
3,Yes,4,40,8,20
5,Yes,8,56,8,43
8,No,7,47,7,38
9,Yes,3,81,7,78
9,Yes,5,87,6,85
6,Yes,9,77,6,65
8,Yes,3,56,6,50
7,No,6,62,7,52
4,Yes,9,77,7,61
3,No,1,79,8,60
5,Yes,7,51,5,38
7,No,3,64,4,46
5,No,8,56,5,41
1,Yes,6,67,4,39
7,No,0,47,5,38
4,Yes,8,54,6,39
2,No,2,86,7,63
6,No,3,96,6,82
4,No,1,45,7,25
5,Yes,2,84,4,73
7,No,8,60,7,52
4,No,2,43,9,25
3,Yes,1,96,7,72
8,Yes,5,70,7,68
8,Yes,0,45,4,37
3,No,8,46,5,27
8,Yes,6,76,8,70
4,No,3,83,5,64
4,No,4,42,5,22
5,Yes,8,61,5,48
2,No,0,54,7,30
2,Yes,6,41,6,19
2,Yes,7,67,5,41
5,Yes,4,62,9,47
5,Yes,1,78,4,60
1,Yes,5,54,8,28
1,Yes,5,87,7,64
3,No,6,84,6,61
1,Yes,6,92,4,67
4,Yes,0,81,7,65
7,No,2,93,6,84
8,No,1,62,5,53
2,Yes,9,90,6,68
9,Yes,1,43,9,38
2,Yes,3,86,8,69
9,No,9,87,8,89
7,No,5,89,5,78
5,No,8,66,6,51
7,Yes,6,65,9,57
5,No,0,69,6,57
1,No,8,69,8,44
5,Yes,0,45,6,28
3,Yes,8,42,6,21
4,Yes,7,41,8,23
5,Yes,5,76,6,62
1,No,8,49,6,24
3,Yes,1,82,5,60
9,No,2,76,7,71
5,No,4,70,7,53
4,Yes,9,43,6,25
5,Yes,3,86,6,74
4,Yes,9,44,9,28
2,No,2,46,9,24
8,Yes,1,68,5,58
3,No,5,96,5,74
1,No,5,96,9,69
7,Yes,0,89,4,79
1,Yes,3,94,6,71
8,No,8,83,7,79
5,No,9,85,8,68
8,Yes,7,56,5,51
1,No,8,76,5,50
4,Yes,3,83,6,66
5,Yes,1,74,7,59
7,Yes,6,67,9,61
1,No,4,86,5,57
5,No,2,96,6,81
6,No,7,89,7,79
2,No,9,98,7,77
7,No,0,84,7,76
6,Yes,6,99,5,85
3,Yes,8,99,6,83
3,No,9,63,7,46
7,Yes,8,41,6,34
3,Yes,0,64,6,43
7,Yes,5,68,7,60
6,Yes,2,68,7,58
3,Yes,2,60,8,38
7,Yes,0,65,7,53
2,Yes,7,76,4,51
3,Yes,0,65,4,44
5,No,1,85,6,72
6,No,2,81,7,68
7,No,5,81,4,71
1,Yes,4,59,7,31
7,Yes,8,88,6,82
1,No,7,64,8,42
4,Yes,2,94,8,73
1,Yes,5,91,9,67
5,No,0,70,8,56
7,No,2,40,8,30
5,Yes,9,56,8,45
